oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
casa en  privada de la villa el sauzal de rodriguez ensenada baja california 22760 mex,73363381.0,586.0,5,5,31.873194,-116.674971,2025-09-27 23:03:14.104353,icasas,125193.48293515359
casa en  avenida heroes de baja california 647 ejido el porvenir el porvenir ensenada baja california 22984 mex,9181900.0,160.0,2,2,32.075278,-116.627778,2025-09-27 23:03:14.104353,icasas,57386.875
casa en  22984 el porvenir baja california mex,10926461.0,280.0,4,3,32.070043,-116.627399,2025-09-27 23:03:14.104353,icasas,39023.075
casa en  22766 ensenada baja california mex,4939862.2,72.0,2,1,32.018483,-116.670583,2025-09-27 23:03:14.104353,icasas,68609.19722222222
casa en  22766 ensenada baja california mex,6776242.2,186.0,5,4,32.018242,-116.670288,2025-09-27 23:03:14.104353,icasas,36431.40967741935
casa en  22753 ensenada baja california mex,45909500.0,1.0,8,8,32.042386,-116.650944,2025-09-27 23:03:14.104353,icasas,45909500.0
casa en  22766 ensenada baja california mex,5858052.2,131.0,2,2,32.018101,-116.670148,2025-09-27 23:03:14.104353,icasas,44717.95572519084
casa en  calle colonet popular 1989 ensenada baja california 22812 mex,8180081.25,232.0,3,3,31.895195,-116.563151,2025-09-27 23:03:14.104353,icasas,35258.97090517241
casa en  calle colonet popular 1989 ensenada baja california 22812 mex,7370182.58,172.0,2,2,31.895195,-116.563151,2025-09-27 23:03:14.104353,icasas,42849.898720930236
casa en  crepeland santo domingo ensenada baja california 22785 mex,2295475.0,65.0,3,2,31.767675,-116.559897,2025-09-27 23:03:14.104353,icasas,35315.0
casa en  22766 ensenada baja california mex,5929671.02,133.0,2,2,32.084902,-116.880043,2025-09-27 23:03:14.104353,icasas,44583.99263157894
casa en  22765 la mision localidad baja california mex,7327156.2,168.0,3,2,32.08460235,-116.88047094,2025-09-27 23:03:14.104353,icasas,43614.025
casa en  murgia ensenada,16525583.62,350.0,4,3,32.0855409,-116.884969,2025-09-27 23:03:14.104353,icasas,47215.953199999996
casa en  22793 ensenada baja california mex,1652742.0,295.0,5,4,31.746836,-116.596087,2025-09-27 23:03:14.104353,icasas,5602.515254237288
casa en  22766 ensenada baja california mex,6554040.22,165.0,3,2,32.084902,-116.880043,2025-09-27 23:03:14.104353,icasas,39721.45587878788
casa en  22766 ensenada baja california mex,7655868.22,202.0,4,3,32.084902,-116.880043,2025-09-27 23:03:14.104353,icasas,37900.337722772274
casa en  la mision ensenada,18.36,850.0,,,32.07606,-116.62473,2025-09-27 23:03:14.104353,icasas,0.021599999999999998
casa en  22765 la mision localidad baja california mex,7161882.0,166.0,3,2,32.0841092,-116.88051117,2025-09-27 23:03:14.104353,icasas,43143.867469879515
casa en  calle duraznos 533591 lomas de valle verde ensenada baja california 22810 mex,5250000.0,307.0,3,2,31.887003,-116.595421,2025-09-27 23:03:14.104353,icasas,17100.97719869707
casa en  calle francisco i. madero 503545 piedras negras ensenada baja california 22830 mex,6794606.0,279.0,5,4,31.876175,-116.598,2025-09-27 23:03:14.104353,icasas,24353.42652329749
casa en  calle francisco i. madero 1021 ensenada baja california 22819 mex,6427330.0,100.0,3,2,31.914584,-116.589128,2025-09-27 23:03:14.104353,icasas,64273.3
casa en  privada pirul 710 los olivares ensenada baja california 22818 mex,6427330.0,310.0,5,5,31.889403,-116.613545,2025-09-27 23:03:14.104353,icasas,20733.322580645163
casa en  valle dorado infonavit seccion 7 ensenada baja california mex,2800000.0,126.0,4,2,31.829387,-116.586334,2025-09-27 23:03:14.104353,icasas,22222.222222222223
