oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
casa nueva independiente modelo monaco,3308850.0,110.0,,2.0,31.965445,-116.646471,easyaviso,2025-09-27 22:24:19.403530,30080.454545454544
vive o invierte propiedad lista con proyecto turistico en el valle de guadalupe,1211.0,,,,31.8773451,-116.6289596,easyaviso,2025-09-27 22:24:19.403530,
zevze,5239012.5,135.0,2.0,2.0,32.0557002,-116.8794595,easyaviso,2025-09-27 22:24:19.403530,38807.5
casa en venta  modelo azur vinedos del mar ensenada b.c.,250000.0,200.0,,,31.8780559,-116.5377134,easyaviso,2025-09-27 22:24:19.403530,1250.0
casa en venta en fracc. buenaventura en ensenada b.c.,4130000.0,139.93,2.0,,31.8395089,-116.6097319,easyaviso,2025-09-27 22:24:19.403530,29514.757378689344
casa en venta en ensenada baja california.,17463375000.0,340.0,5.0,4.0,31.9045196,-116.7263625,easyaviso,2025-09-27 22:24:19.403530,51362867.64705882
departamento en venta en ensenada baja california.,2757375.0,0.0,,,32.4267942,-117.0543995,easyaviso,2025-09-27 22:24:19.403530,inf
casa en venta en el sur de ensenada,2941200.0,941.0,,,31.906089,-116.6737419,easyaviso,2025-09-27 22:24:19.403530,3125.6110520722636
venta de rancho en ensenada,5000000.0,145.0,2.0,3.0,31.7909426,-116.5869775,easyaviso,2025-09-27 22:24:19.403530,34482.75862068965
venta de condominio en ensenada,630000.0,200.0,,,31.8839621,-116.5744681,easyaviso,2025-09-27 22:24:19.403530,3150.0
venta de casa en ensenada,14262382.480500001,53.34,,,31.8973732,-116.576099,easyaviso,2025-09-27 22:24:19.403530,267386.24822834646
venta de casa en ensenada,2735426.295,488.06,,,31.9068885,-116.724453,easyaviso,2025-09-27 22:24:19.403530,5604.692650493792
casa en venta en ensenada baja california,39538299.75974999,553.33,,,31.8973732,-116.576099,easyaviso,2025-09-27 22:24:19.403530,71455.18905490392
venta de condominio en ensenada,10000000.0,,,,31.853187,-116.6008024,easyaviso,2025-09-27 22:24:19.403530,
casa en venta ensenada,3590000.0,,2.0,2.0,31.9161,-116.687,easyaviso,2025-09-27 22:24:19.403530,
venta de condominio en ensenada,5055187.5,500.0,,,31.8973732,-116.576099,easyaviso,2025-09-27 22:24:19.403530,10110.375
venta de condominio en ensenada,39538299.75974999,553.33,,,31.8973732,-116.576099,easyaviso,2025-09-27 22:24:19.403530,71455.18905490392
casa nueva fracc. buenaventura,4411800.0,228.0,5.0,3.0,31.8718174,-116.6101244,easyaviso,2025-09-27 22:24:19.403530,19350.0
residencia de lujo a estrenar en coronado bajamar,2200000.0,146.0,,,31.8679948,-116.5778753,easyaviso,2025-09-27 22:24:19.403530,15068.493150684932
villa estancia  residencia de lujo frente al mar en punta piedra ensenada,350000.0,233.0,,,31.8844193023,-116.5572517306,easyaviso,2025-09-27 22:24:19.403530,1502.145922746781
casa de contado en maneadero,211398.75,200.0,,,31.7281853969,-116.6089296341,easyaviso,2025-09-27 22:24:19.403530,1056.99375
casa con terraza en venta,1964629.6875,,,,31.867097008,-116.6626477624,easyaviso,2025-09-27 22:24:19.403530,
departamentos en venta,4227975.0,,2.0,2.0,31.7851848,-116.5890129,easyaviso,2025-09-27 22:24:19.403530,
ensenada baja california haz tu mejor oferta,7945000.0,352.0,2.0,3.0,31.8528704,-116.6089655,easyaviso,2025-09-27 22:24:19.403530,22571.022727272728
casa en venta,1696000.0,45.0,,2.0,31.7698561,-116.5580573,easyaviso,2025-09-27 22:24:19.403530,37688.88888888889
casita en bajamar,2389725.0,652.0,,,32.0892313618,-116.8821673955,easyaviso,2025-09-27 22:24:19.403530,3665.222392638037
casa en venta fracc. nueva ensenada ensenada bc,2757375.0,491.0,,,31.7928938192,-116.592402498,easyaviso,2025-09-27 22:24:19.403530,5615.835030549898
casa en venta en villas del campo ensenada baja california,13800000.0,510.0,3.0,4.0,31.854677,-116.6148013,easyaviso,2025-09-27 22:24:19.403530,27058.823529411766
casa en venta  oportunidad de inversion fracc. playa ensenada ensenada b.c.,3584587.5,66.0,,,32.0579982,-116.8785343,easyaviso,2025-09-27 22:24:19.403530,54311.931818181816
casa en venta en fraccionamiento granjas el gallo ensenada baja california,8272125.0,993.75,,,31.9081871,-116.723864,easyaviso,2025-09-27 22:24:19.403530,8324.150943396226
casa en venta  col. empleados ensenada b.c.,985000.0,493.0,,,31.8999427,-116.5875096,easyaviso,2025-09-27 22:24:19.403530,1997.971602434077
casa en venta  col.empleados ensenada b.c.,2808000.0,218.0,,4.0,31.8999427,-116.5875096,easyaviso,2025-09-27 22:24:19.403530,12880.733944954129
casa en venta en ensenada baja california,1470600.0,275.0,,,31.87994,-116.6470766,easyaviso,2025-09-27 22:24:19.403530,5347.636363636364
casa en venta,5330925.0,464.54,,,31.8951953,-116.563151,easyaviso,2025-09-27 22:24:19.403530,11475.707151160286
casa en preventa andarez residencial modelo isla plus,2882835.5625,369.0,,,31.8742577097,-116.6740431022,easyaviso,2025-09-27 22:24:19.403530,7812.5625
casa en venta en valle dorado,5864017.5,284.0,4.0,5.0,31.8689201,-116.641132,easyaviso,2025-09-27 22:24:19.403530,20647.948943661973
casa en venta en villa bonita 2200000.00,3000000.0,,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,
hermosa residencia en venta en ampliacion moderna,6433875.0,200.0,2.0,3.0,32.0526248158,-116.880808998,easyaviso,2025-09-27 22:24:19.403530,32169.375
